s2s_policy_name,ike_version,ike_policy,preshared_key,device_name,device_interface_name,protected_network_name,remote_device_name,remote_device_ip,is_dynamic_ip,remote_protected_network_name
PORT-HURON-MI,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,PORT-HURON-MI_PEER,50.218.171.126,FALSE,IPv4-Private-172.16.0.0-12
CRADLE-POINT-BOLTON-HOUSE,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,CRADLE-POINT-BOLTON-HOUSE_PEER,63.45.215.254,FALSE,IPv4-Private-172.16.0.0-12
GE,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,GE_PEER,208.51.30.230,FALSE,IPv4-Private-172.16.0.0-12
PHILLIPS,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,PHILLIPS_PEER,193.25.56.2,FALSE,IPv4-Private-172.16.0.0-12
SIEMENS-USA,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,SIEMENS-USA_PEER,206.208.5.1,FALSE,IPv4-Private-172.16.0.0-12
SELECT-MEDICAL,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,SELECT-MEDICAL_PEER,204.90.98.15,FALSE,IPv4-Private-172.16.0.0-12
QUESTDIAGNOSTICS,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,QUESTDIAGNOSTICS_PEER,216.203.80.110,FALSE,IPv4-Private-172.16.0.0-12
MAYO,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,MAYO_PEER,129.176.60.125,FALSE,IPv4-Private-172.16.0.0-12
METRO-CARDIO,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,METRO-CARDIO_PEER,169.240.105.30,FALSE,IPv4-Private-172.16.0.0-12
AKRON,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,AKRON_PEER,209.57.32.10,FALSE,IPv4-Private-172.16.0.0-12
LABCORP,2,IKEv2_Policy_86400_GCM,vpn123,FTD3130-VPN-HA,vpn_outside,IPv4-Private-192.168.0.0-16,LABCORP_PEER,12.145.88.12,FALSE,IPv4-Private-172.16.0.0-12
